arquivo,canal,janela_ini_s,janela_fim_s,teta_ok,mi_theta_gamma,z_theta_gamma,p_theta_gamma,mi_theta_hg,z_theta_hg,p_theta_hg,mi_theta_hfo,z_theta_hfo,p_theta_hfo,ratio_hfo_gamma,proxy_artefato_motor,transiente_detectado,frac_transiente,max_diff_z,max_amp_z,mvl,correlacao_ruido,suspeito_banda_larga
LFP_HG_HFO.mat,lfpHG,0.0,10.0,0,0.001936,3.0647,0.01,0.003009,8.2436,0.0,0.00118,2.3417,0.025,0.016,0.001098,False,0.0,5.6,2.28,0.1217,0.004,False
LFP_HG_HFO.mat,lfpHG,5.0,15.0,0,0.003345,6.6541,0.0,0.00361,11.3336,0.0,0.001572,4.3032,0.01,0.0143,0.000943,False,0.0,6.1,2.28,0.1625,0.037,False
LFP_HG_HFO.mat,lfpHG,10.0,20.0,0,0.004289,8.0156,0.0,0.004141,8.4582,0.0,0.001157,3.2533,0.0,0.013,0.000787,False,0.0,6.24,2.21,0.192,0.025,False
LFP_HG_HFO.mat,lfpHG,15.0,25.0,1,0.005584,15.1082,0.0,0.007426,18.5865,0.0,0.000828,1.0726,0.12,0.012,0.000776,False,0.0,5.43,1.81,0.2207,0.027,False
LFP_HG_HFO.mat,lfpHG,20.0,30.0,1,0.004094,6.579,0.0,0.008516,16.4186,0.0,0.000495,-0.4465,0.61,0.0114,0.000774,False,0.0,7.53,2.14,0.1698,0.0,False
LFP_HG_HFO.mat,lfpHG,25.0,35.0,1,0.003309,5.2766,0.0,0.008381,15.9587,0.0,0.000732,1.2621,0.095,0.0112,0.000792,False,0.0,7.46,2.17,0.1498,0.02,False
LFP_HG_HFO.mat,lfpHG,30.0,40.0,1,0.003451,9.1533,0.0,0.007317,14.488,0.0,0.000676,0.8472,0.14,0.0114,0.00096,False,0.0,5.69,2.38,0.1636,0.022,False
LFP_HG_HFO.mat,lfpHG,35.0,45.0,1,0.003683,7.5492,0.0,0.007372,25.526,0.0,0.000806,0.94,0.16,0.0138,0.001092,False,0.0,6.0,2.44,0.171,0.018,False
LFP_HG_HFO.mat,lfpHG,40.0,50.0,1,0.002779,8.7668,0.0,0.006946,16.8243,0.0,0.000547,-0.1758,0.525,0.0145,0.001138,False,0.0,6.51,1.99,0.1516,-0.015,False
LFP_HG_HFO.mat,lfpHG,45.0,55.0,1,0.002275,4.6409,0.0,0.00648,15.3112,0.0,0.000356,-0.8742,0.83,0.0127,0.001098,False,0.0,6.71,2.07,0.1316,-0.007,False
