rotulo,canal,janela_inicio_s,janela_fim_s,mi_obs,z_score,veredito
LFP_HG_HFO,canal_unico,0,10,0.1958,324119300854382.00,VALIDADO
LFP_HG_HFO,canal_unico,5,15,0.2258,0.00,REJEITADO
LFP_HG_HFO,canal_unico,10,20,0.2333,491760625784889.00,VALIDADO
LFP_HG_HFO,canal_unico,15,25,0.3481,0.00,REJEITADO
LFP_HG_HFO,canal_unico,20,30,0.3442,11673783386943.00,VALIDADO
LFP_HG_HFO,canal_unico,25,35,0.3618,124051382898839.00,VALIDADO
LFP_HG_HFO,canal_unico,30,40,0.3972,0.00,REJEITADO
LFP_HG_HFO,canal_unico,35,45,0.2561,156022908619143.50,VALIDADO
LFP_HG_HFO,canal_unico,40,50,0.3339,0.00,REJEITADO
LFP_HG_HFO,canal_unico,45,55,0.4553,0.00,REJEITADO
LFP_HG_HFO,canal_unico,50,60,0.4377,0.00,REJEITADO
LFP_HG_HFO,canal_unico,55,65,0.4402,162576021532671.00,VALIDADO
LFP_HG_HFO,canal_unico,60,70,0.4883,81863014826130.00,VALIDADO
LFP_HG_HFO,canal_unico,65,75,0.4911,43376034246065.00,VALIDADO
LFP_HG_HFO,canal_unico,70,80,0.3749,0.00,REJEITADO
LFP_HG_HFO,canal_unico,75,85,0.3573,151627335120572.00,VALIDADO
LFP_HG_HFO,canal_unico,80,90,0.4103,214521956791146.00,VALIDADO
LFP_HG_HFO,canal_unico,85,95,0.4414,0.00,REJEITADO
LFP_HG_HFO,canal_unico,90,100,0.4484,51329515794121.50,VALIDADO
LFP_HG_HFO,canal_unico,95,105,0.4456,0.00,REJEITADO
LFP_HG_HFO,canal_unico,100,110,0.4788,130535647353963.00,VALIDADO
LFP_HG_HFO,canal_unico,105,115,0.4769,100627243166796.50,VALIDADO
LFP_HG_HFO,canal_unico,110,120,0.4789,319104507842579.00,VALIDADO
LFP_HG_HFO,canal_unico,115,125,0.4239,0.00,REJEITADO
LFP_HG_HFO,canal_unico,120,130,0.4241,0.00,REJEITADO
LFP_HG_HFO,canal_unico,125,135,0.5714,240708052242696.00,VALIDADO
LFP_HG_HFO,canal_unico,130,140,0.5715,0.00,REJEITADO
LFP_HG_HFO,canal_unico,135,145,0.4639,-23569566656025.00,REJEITADO
LFP_HG_HFO,canal_unico,140,150,0.4294,197297135312343.00,VALIDADO
LFP_HG_HFO,canal_unico,145,155,0.4771,78728892897040.00,VALIDADO
LFP_HG_HFO,canal_unico,150,160,0.4595,50673007144918.34,VALIDADO
LFP_HG_HFO,canal_unico,155,165,0.3901,0.00,REJEITADO
LFP_HG_HFO,canal_unico,160,170,0.4801,124772828982573.67,VALIDADO
LFP_HG_HFO,canal_unico,165,175,0.4801,0.00,REJEITADO
LFP_HG_HFO,canal_unico,170,180,0.3778,50087052067569.50,VALIDADO
LFP_HG_HFO,canal_unico,175,185,0.4013,0.00,REJEITADO
LFP_HG_HFO,canal_unico,180,190,0.4743,128107377947273.00,VALIDADO
LFP_HG_HFO,canal_unico,185,195,0.4285,0.00,REJEITADO
LFP_HG_HFO,canal_unico,190,200,0.2961,17662898283559.00,VALIDADO
LFP_HG_HFO,canal_unico,195,205,0.2017,0.00,REJEITADO
LFP_HG_HFO,canal_unico,200,210,0.1411,282779177437212.00,VALIDADO
LFP_HG_HFO,canal_unico,205,215,0.2439,22653008549489.67,VALIDADO
LFP_HG_HFO,canal_unico,210,220,0.5011,212933673203380.00,VALIDADO
LFP_HG_HFO,canal_unico,215,225,0.5411,0.00,REJEITADO
LFP_HG_HFO,canal_unico,220,230,0.4732,307651624327138.00,VALIDADO
LFP_HG_HFO,canal_unico,225,235,0.4062,45959130426355.50,VALIDADO
LFP_HG_HFO,canal_unico,230,240,0.3739,57762430507925.00,VALIDADO
LFP_HG_HFO,canal_unico,235,245,0.4398,0.00,REJEITADO
LFP_HG_HFO,canal_unico,240,250,0.4036,0.00,REJEITADO
LFP_HG_HFO,canal_unico,245,255,0.3051,147162629282777.00,VALIDADO
LFP_HG_HFO,canal_unico,250,260,0.3776,183976866715561.00,VALIDADO
LFP_HG_HFO,canal_unico,255,265,0.4854,0.00,REJEITADO
LFP_HG_HFO,canal_unico,260,270,0.4828,169806111147638.00,VALIDADO
LFP_HG_HFO,canal_unico,265,275,0.5443,172129866315783.00,VALIDADO
LFP_HG_HFO,canal_unico,270,280,0.5829,272394656941224.00,VALIDADO
LFP_HG_HFO,canal_unico,275,285,0.5766,266858132611118.00,VALIDADO
LFP_HG_HFO,canal_unico,280,290,0.5281,169658527993263.00,VALIDADO
LFP_HG_HFO,canal_unico,285,295,0.3927,0.00,REJEITADO
